Timestamp,Left Dots,Right Dots,Choice,Correct,Delay,Assigned_Name
12/28/2023 14:01:46,17,12,Left,TRUE,0.2,EHAD
12/28/2023 14:01:46,17,14,Left,TRUE,0.2,EHAD
12/28/2023 14:01:46,21,18,Left,TRUE,0.2,EHAD
12/28/2023 14:01:46,9,10,Left,FALSE,0.2,EHAD
12/28/2023 14:01:46,11,14,Right,TRUE,0.2,EHAD
12/28/2023 14:01:46,14,12,Right,FALSE,0.2,EHAD
12/28/2023 14:01:46,10,8,Left,TRUE,0.2,EHAD
12/28/2023 14:01:46,14,12,Left,TRUE,0.2,EHAD
12/28/2023 14:01:46,11,9,Left,TRUE,0.2,EHAD
12/28/2023 14:01:46,16,12,Left,TRUE,0.2,EHAD
12/28/2023 14:04:23,18,20,Left,FALSE,0.2,EHAD
12/28/2023 14:04:23,16,21,Right,TRUE,0.2,EHAD
12/28/2023 14:04:23,19,16,Right,FALSE,0.2,EHAD
12/28/2023 14:04:23,17,12,Left,TRUE,0.2,EHAD
12/28/2023 14:04:23,45,50,Right,TRUE,0.2,EHAD
12/28/2023 14:04:23,16,18,Right,TRUE,0.2,EHAD
12/28/2023 14:04:23,27,24,Left,TRUE,0.2,EHAD
12/28/2023 14:04:23,17,18,Right,TRUE,0.2,EHAD
12/28/2023 14:04:23,17,19,Left,FALSE,0.2,EHAD
12/28/2023 14:04:23,12,9,Right,FALSE,0.2,EHAD
12/28/2023 14:05:51,27,24,Left,TRUE,0.2,EHAD
12/28/2023 14:05:51,18,15,Left,TRUE,0.2,EHAD
12/28/2023 14:05:51,20,15,Left,TRUE,0.2,EHAD
12/28/2023 14:05:51,21,18,Right,FALSE,0.2,EHAD
12/28/2023 14:05:51,21,18,Right,FALSE,0.2,EHAD
12/28/2023 14:05:51,30,35,Right,TRUE,0.2,EHAD
12/28/2023 14:05:51,15,13,Left,TRUE,0.2,EHAD
12/28/2023 14:05:51,19,17,Left,TRUE,0.2,EHAD
12/28/2023 14:05:51,15,16,Left,FALSE,0.2,EHAD
12/28/2023 14:05:51,14,18,Right,TRUE,0.2,EHAD
12/28/2023 14:07:05,12,16,Right,TRUE,0.2,EHAD
12/28/2023 14:07:05,13,11,Left,TRUE,0.2,EHAD
12/28/2023 14:07:05,15,20,Left,FALSE,0.2,EHAD
12/28/2023 14:07:05,12,9,Right,FALSE,0.2,EHAD
12/28/2023 14:07:05,10,8,Left,TRUE,0.2,EHAD
12/28/2023 14:07:05,18,20,Left,FALSE,0.2,EHAD
12/28/2023 14:07:05,19,21,Left,FALSE,0.2,EHAD
12/28/2023 14:07:05,12,14,Left,FALSE,0.2,EHAD
12/28/2023 14:07:05,14,15,Right,TRUE,0.2,EHAD
12/28/2023 14:07:05,10,13,Left,FALSE,0.2,EHAD
12/28/2023 14:08:03,9,7,Right,FALSE,0.2,EHAD
12/28/2023 14:08:03,15,16,Left,FALSE,0.2,EHAD
12/28/2023 14:08:03,16,18,Right,TRUE,0.2,EHAD
12/28/2023 14:08:03,24,27,Right,TRUE,0.2,EHAD
12/28/2023 14:08:03,10,8,Left,TRUE,0.2,EHAD
12/28/2023 14:08:03,15,13,Right,FALSE,0.2,EHAD
12/28/2023 14:08:03,15,20,Right,TRUE,0.2,EHAD
12/28/2023 14:08:03,9,10,Right,TRUE,0.2,EHAD
12/28/2023 14:08:03,45,40,Right,FALSE,0.2,EHAD
12/28/2023 14:08:03,24,27,Right,TRUE,0.2,EHAD
12/28/2023 14:09:21,30,35,Left,FALSE,0.2,EHAD
12/28/2023 14:09:21,17,19,Left,FALSE,0.2,EHAD
12/28/2023 14:09:21,11,9,Left,TRUE,0.2,EHAD
12/28/2023 14:09:21,14,12,Left,TRUE,0.2,EHAD
12/28/2023 14:09:21,12,10,Left,TRUE,0.2,EHAD
12/28/2023 14:09:21,15,20,Right,TRUE,0.2,EHAD
12/28/2023 14:09:21,27,24,Left,TRUE,0.2,EHAD
12/28/2023 14:09:21,12,16,Left,FALSE,0.2,EHAD
12/28/2023 14:09:21,17,19,Right,TRUE,0.2,EHAD
12/28/2023 14:09:21,40,45,Right,TRUE,0.2,EHAD
12/28/2023 14:10:22,20,15,Left,TRUE,0.2,EHAD
12/28/2023 14:10:22,18,21,Right,TRUE,0.2,EHAD
12/28/2023 14:10:22,14,12,Left,TRUE,0.2,EHAD
